Symbol,Side,Qty,Fill Price,Commission,Closing Time,Status
AMZN,Buy,75,196.3,0.38,2025-03-03T15:02:00.000Z,Filled
AMZN,Buy,75,196.76,0.38,2025-03-03T15:09:00.000Z,Filled
AMZN,Sell,75,197.79,0.38,2025-03-03T15:23:00.000Z,Filled
AMZN,Sell,75,198.59,0.38,2025-03-03T15:37:00.000Z,Filled
AMZN,Sell,200,193.56,1,2025-03-03T17:32:00.000Z,Filled
AMZN,Buy,100,192.27,0.5,2025-03-03T17:33:48.000Z,Filled
AMZN,Buy,100,191.57,0.5,2025-03-03T17:35:00.000Z,Filled
TSLA,Buy,60,262.2,0.3,2025-03-04T16:14:00.000Z,Filled
TSLA,Sell,30,263.16,0.25,2025-03-04T16:35:00.000Z,Filled
TSLA,Sell,30,263.68,0.25,2025-03-04T16:49:00.000Z,Filled
AMZN,Buy,150,184.86,0.75,2025-03-04T17:02:00.000Z,Filled
AMZN,Sell,150,183.88,0.75,2025-03-04T18:17:00.000Z,Filled
AMD,Buy,50,144.24,0.25,2025-03-05T15:09:00.000Z,Filled
AMD,Buy,50,144.03,0.25,2025-03-05T15:09:36.000Z,Filled
AMD,Sell,50,143.55,0.25,2025-03-05T15:10:48.000Z,Filled
AMD,Sell,50,143.17,0.25,2025-03-05T15:12:00.000Z,Filled
AAPL,Buy,200,194.14,1,2025-03-05T15:45:00.000Z,Filled
AAPL,Sell,100,193.48,0.5,2025-03-05T15:46:48.000Z,Filled
AAPL,Sell,100,193.12,0.5,2025-03-05T15:48:00.000Z,Filled
QQQ,Buy,20,481.54,0.25,2025-03-05T16:35:00.000Z,Filled
TSLA,Buy,15,263.82,0.25,2025-03-05T16:37:00.000Z,Filled
QQQ,Buy,20,482.82,0.25,2025-03-05T16:38:00.000Z,Filled
QQQ,Sell,40,487.96,0.25,2025-03-05T16:50:00.000Z,Filled
TSLA,Buy,15,264.18,0.25,2025-03-05T16:52:00.000Z,Filled
TSLA,Sell,15,264.98,0.25,2025-03-05T17:22:00.000Z,Filled
TSLA,Sell,15,265.61,0.25,2025-03-05T17:52:00.000Z,Filled
META,Sell,30,546.66,0.25,2025-03-06T17:16:00.000Z,Filled
META,Buy,30,543.14,0.25,2025-03-06T17:19:00.000Z,Filled
AAPL,Sell,100,205.75,0.5,2025-03-06T17:25:00.000Z,Filled
AAPL,Buy,50,203.54,0.25,2025-03-06T17:46:00.000Z,Filled
AAPL,Buy,50,202.35,0.25,2025-03-06T18:00:00.000Z,Filled
AMZN,Buy,75,195.07,0.38,2025-03-06T18:07:00.000Z,Filled
